name,rating,vodServiceName
Nimona,7.35,Netflix
Fenomen,7.29,Netflix
Zaopiekujcie się Mayą,7.08,Netflix
Bill Russell: Legenda NBA,7.04,Netflix
Wham!,6.93,Netflix
Jesteśmy idealni,6.79,Netflix
Stan Lee,6.76,Disney+
Na planie serialu "The Last of Us",6.70,HBO Max
Ślicznotka: Historia Brooke Shields,6.69,Disney+
Głodni,6.63,Netflix
Magiczna słonica,6.62,Netflix
Siła ducha,6.59,Netflix
Black Clover: Mahō Tei no Ken,6.50,Netflix
Dusiciel z Bostonu,6.22,Disney+
Ulica Rye Lane,6.20,Disney+
Flamin' Hot: Smak sukcesu,6.17,Disney+
Martwe zło: Przebudzenie,6.02,HBO Max
Misja: Bal,6.00,Disney+
Mumie,5.88,HBO Max
Najlepszy rzut Changa,5.67,Disney+
Ant-Man i Osa: Kwantomania,5.57,Disney+
Shazam! Gniew bogów,5.55,HBO Max
Biali nie potrafią skakać,5.38,Disney+
Klub zabójców,5.08,Canal+ Online
Magic Mike: Ostatni taniec,4.93,HBO Max
Quasi,4.91,Disney+
Domówka,4.25,HBO Max
Zabójca,4.04,Canal+ Online
